image,width_px,height_px,num_channels,source_file,recovery_file,recovered,acquisition_id,acquisition_description,acquisition_start_x_um,acquisition_start_y_um,acquisition_end_x_um,acquisition_end_y_um,acquisition_width_um,acquisition_height_um
10123885-USL-VAR-TIS-01-IMC-02_002.tiff,600,600,44,10123885-USL-VAR-TIS-01-IMC-02.mcd,,False,2,pos1_2_Na,34541.0,12089.0,35141.0,11489.0,600.0,600.0
10123885-USL-VAR-TIS-01-IMC-02_003.tiff,600,600,44,10123885-USL-VAR-TIS-01-IMC-02.mcd,,False,3,pos1_3_Na,39583.0,6975.0,40183.0,6375.0,600.0,600.0
10123884-USL-VAR-TIS-01-IMC-02_001.tiff,600,600,44,10123884-USL-VAR-TIS-01-IMC-02.mcd,,False,1,pos1_1_Na,21386.0,18745.0,21986.0,18145.0,600.0,600.0
10123884-USL-VAR-TIS-01-IMC-02_002.tiff,600,600,44,10123884-USL-VAR-TIS-01-IMC-02.mcd,,False,2,pos1_2_Na,21560.0,7990.0,22160.0,7390.0,600.0,600.0
10123884-USL-VAR-TIS-01-IMC-02_003.tiff,600,600,44,10123884-USL-VAR-TIS-01-IMC-02.mcd,,False,3,pos1_3_Na,19442.0,9165.0,20042.0,8565.0,600.0,600.0
10123883-USL-VAR-TIS-01-IMC-02_001.tiff,600,600,44,10123883-USL-VAR-TIS-01-IMC-02.mcd,,False,1,pos1_1_Na,19953.0,21284.0,20553.0,20684.0,600.0,600.0
10123883-USL-VAR-TIS-01-IMC-02_002.tiff,600,600,44,10123883-USL-VAR-TIS-01-IMC-02.mcd,,False,2,pos1_2_Na,33816.0,16064.0,34416.0,15464.0,600.0,600.0
10123883-USL-VAR-TIS-01-IMC-02_003.tiff,600,600,44,10123883-USL-VAR-TIS-01-IMC-02.mcd,,False,3,pos1_3_Na,15643.0,14730.0,16243.0,14130.0,600.0,600.0
10123883-USL-VAR-TIS-01-IMC-02_004.tiff,600,600,44,10123883-USL-VAR-TIS-01-IMC-02.mcd,,False,4,pos1_1_NEW,25377.0,20487.0,25977.0,19887.0,600.0,600.0
10123883-USL-VAR-TIS-01-IMC-02_005.tiff,600,600,44,10123883-USL-VAR-TIS-01-IMC-02.mcd,,False,5,pos1_2_NEW,33724.321,15998.02,34324.321,15398.02,600.0,600.0
10123882-USL-VAR-TIS-01-IMC-02_001.tiff,600,600,44,10123882-USL-VAR-TIS-01-IMC-02.mcd,,False,1,pos1_1_Na,25608.0,20357.0,26208.0,19757.0,600.0,600.0
