Object,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,eccentricity
126,53,17.58490566037736,368.35849056603774,8.351459515461531,8.075494295686823,0.25494312989369416
127,93,17.64516129032258,437.7204301075269,11.611317037825836,10.413924990179739,0.44227974056886726
128,77,17.7012987012987,593.7142857142857,13.546583752598508,7.582654315711672,0.8286638244722683
129,30,18.0,244.5,6.831300510639732,5.656854249492381,0.560611910581388
130,32,17.59375,270.125,7.429565865886858,5.423184124151499,0.6835044968412485
131,56,17.982142857142858,455.25,9.512345776629635,7.574121641627028,0.6049792947961399
132,46,18.456521739130434,251.69565217391303,9.58103236305296,6.107391192294151,0.770494996082899
133,121,19.355371900826448,359.92561983471074,14.172261300624701,11.366756500112352,0.5972669072387354
134,87,18.816091954022987,506.5632183908046,15.375451886391385,7.587166281555038,0.8697686464769119
135,104,19.10576923076923,497.65384615384613,16.713654266985348,8.129948876591424,0.873722015632913
136,70,18.614285714285714,530.5571428571428,11.726163718971458,7.7131707360348525,0.7532149695116946
137,14,19.714285714285715,385.5,4.20883424647321,4.120630029101703,0.2036532699906393
138,74,21.2027027027027,445.6216216216216,12.492045466294535,7.775610728487757,0.7826635758588951
139,19,20.105263157894736,1.4210526315789473,5.544698233777089,4.2956952169149805,0.6322808964466017
140,47,21.148936170212767,166.68085106382978,8.720109925263468,6.873985031690336,0.6153024817815024
141,48,20.625,214.5625,8.095587881569795,7.58170760350949,0.35060504059685577
142,40,20.925,323.825,8.418942766670149,6.240304695408097,0.6712600875889345
143,54,20.685185185185187,329.537037037037,10.33911231477134,6.9771240473348985,0.7379749091198561
144,58,20.70689655172414,426.67241379310343,10.27909738753399,7.4976073829942615,0.6840839498405644
145,51,21.431372549019606,149.7058823529412,8.741733853126137,7.462658910512869,0.5207949880444521
146,113,20.86725663716814,230.4513274336283,13.516340721455078,10.923597373662494,0.5889395011008686
147,19,21.157894736842106,537.8421052631579,5.271572221283753,4.5005385950383054,0.5207037318817046
148,26,21.53846153846154,545.3076923076923,6.490943014853808,5.055686547861552,0.6271689893594984
149,82,21.658536585365855,61.329268292682926,11.88080934393891,9.06493026159978,0.6464111280553522
150,56,22.160714285714285,462.625,9.843568334646783,7.474588186889503,0.65069726356427
151,115,23.843478260869563,483.8,15.915508512715336,9.618564228490783,0.7967176745232724
152,104,21.057692307692307,518.2692307692307,13.759051484500661,10.652487244553775,0.6329206292463353
153,16,22.75,579.625,4.837183752516743,4.165531580049303,0.5083541641390434
154,51,22.54901960784314,590.1372549019608,11.266851858511682,5.981388086950875,0.8474446820109027
155,148,23.2027027027027,12.594594594594595,18.44576733494149,11.0640201787828,0.8001398445572679
156,8,23.0,220.5,3.4641016151377544,2.8284271247461903,0.5773502691896258
157,214,22.373831775700936,27.070093457943926,18.25483104771339,15.368306625862347,0.5396707993085029
158,36,23.61111111111111,287.02777777777777,7.271777820377493,6.273421333873608,0.5057022876709698
159,100,23.52,375.65,11.83306580126992,10.900098795094305,0.3891937087695548
160,62,24.43548387096774,159.06451612903226,11.828497820681433,7.090558889278481,0.8004143656475904
161,22,23.727272727272727,250.95454545454547,5.5195074369704376,5.0760656626865766,0.39271745514253664
162,26,23.846153846153847,292.6923076923077,6.303845414365734,5.454599641782627,0.5012865927641995
163,33,24.0,451.0,7.203627247177378,5.866070642836989,0.5804136631980062
164,36,24.47222222222222,178.97222222222223,7.354897267664931,6.190738184458672,0.539919790114598
165,65,23.93846153846154,243.03076923076924,11.227448015166335,7.48481914114251,0.7453676394044689
166,57,24.842105263157894,344.70175438596493,9.325247631891939,7.9244308858679,0.5271337121998055
167,50,25.82,367.9,9.237531626915933,6.956264043416402,0.6579706232569116
168,90,25.11111111111111,492.8777777777778,15.72894275722223,7.898483319750194,0.8647733487785451
169,83,23.783132530120483,335.7590361445783,12.781631537950533,8.623807784805402,0.7380891429518858
170,28,25.071428571428573,355.35714285714283,7.030901294677838,5.333289604447303,0.6516149331161367
171,64,25.21875,470.53125,9.925764269271268,8.318530739911816,0.5455556756090932
172,94,25.085106382978722,96.47872340425532,12.510458349227841,9.739335755335668,0.6276501638358507
173,131,27.244274809160306,134.17557251908397,13.555816943263336,12.467281744839799,0.39262237627748026
174,50,25.72,262.12,9.362147221496054,6.775352345305276,0.6901184712923871
175,51,25.941176470588236,456.6666666666667,9.033781761572358,7.217136395372572,0.6014567934655384
176,47,25.872340425531913,279.36170212765956,8.772128730093824,6.904670492442668,0.6168067972609271
177,28,26.107142857142858,477.32142857142856,6.633249580710799,5.439837932759934,0.5722396840745008
178,54,26.72222222222222,2.8703703703703702,9.231945370307571,7.684109128724889,0.5542667386472137
179,50,26.56,146.0,10.127892003802334,6.394388442948768,0.7754864574423295
180,95,26.147368421052633,434.9684210526316,13.07344093198638,9.376657575853775,0.6968370227880538
181,26,26.53846153846154,574.5384615384615,6.176879969195302,5.3736151374070715,0.4931289675734429
182,34,27.11764705882353,225.58823529411765,7.446620295045091,5.898309987979145,0.610418865596881
